graph_hash,profile,cycle_i,cycle_j,distance,shared_vertices,shared_edges
29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,"(4,0,0,0)",0,3,8,0,0
29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,"(4,0,0,0)",1,2,8,0,0
29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,"(4,0,0,0)",1,3,8,0,0
29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,"(4,0,0,0)",2,3,4,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",0,1,2,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",0,2,4,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",0,3,7,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",1,2,4,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",1,3,7,0,0
8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,"(4,0,0,0)",2,3,7,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",0,1,3,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",0,2,6,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",0,3,7,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",1,2,4,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",1,3,7,0,0
d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,"(4,0,0,0)",2,3,7,0,0
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",0,1,2,0,0
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",0,2,5,0,0
