group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,fcc1ebef9787b30c47d8bd47a0afa53140e32d0a056d2d3ca678ba5ec56fb815,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
target_clean,50bfb6cfbe4149071ceda731d4539a93efb43767003d02cac5e651255a73b171,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.166666666666667,10,16,True
target_clean,fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,6.166666666666667,10,16,True
target_clean,c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,6.0,10,16,True
target_clean,2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,cc173316c6833592466563352693b1f93fc643804ca684968e80c25fe7c8899c,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,5.666666666666667,8,16,True
target_clean,29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,6.166666666666667,8,16,True
target_clean,8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,5.166666666666667,7,16,True
target_clean,d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,6.0,10,16,True
target_clean,f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.166666666666667,10,16,True
target_clean,b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,6.166666666666667,9,16,True
target_clean,5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.333333333333333,10,16,True
target_clean,acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.0,8,16,True
